Helpdesk;Eisenstadt;MO;08:00;14:00;
Helpdesk;Eisenstadt;Di;08:00;14:00;
Helpdesk;Eisenstadt;MI;08:00;14:00;
Helpdesk;Eisenstadt;DO;08:00;14:00;
Helpdesk;Eisenstadt;FR;08:00;14:00;
Helpdesk;Eisenstadt;;08:00;16:00*;
Helpdesk;Eisenstadt;SA;08:00;14:00*;
Service Center;Eisenstadt;MO;08:00;16:30;
Service Center;Eisenstadt;DI;08:00;16:30;
Service Center;Eisenstadt;MI;08:00;16:30;
Service Center;Eisenstadt;DO;08:00;16:30;
Service Center;Eisenstadt;FR;08:00;16:30;
Service Center;Eisenstadt;;08:00;16:30*;
Service Center;Eisenstadt;SA;08:00;14:00*;
Helpdesk;Pinkafeld;MO;08:00;14:00;
Helpdesk;Pinkafeld;DI;08:00;14:00;
Helpdesk;Pinkafeld;MI;08:00;14:00;
Helpdesk;Pinkafeld;DO;08:00;14:00;
Helpdesk;Pinkafeld;FR;08:00;14:00;
Helpdesk;Pinkafeld;;08:00;18:00*;
Helpdesk;Pinkafeld;SA;08:00;14:00*;
Service Center;Pinkafeld;MO;08:00;16:30;
Service Center;Pinkafeld;DI;08:00;16:30;
Service Center;Pinkafeld;MI;08:00;16:30;
Service Center;Pinkafeld;DO;08:00;16:30;
Service Center;Pinkafeld;FR;08:00;16:30;
Service Center;Pinkafeld;;08:00;16:30*;
Service Center;Pinkafeld;SA;08:00;14:00*;
